"Player","RatingScore"
"Domantas Sabonis",512.11
"Nikola Jokić",674.5
"Anthony Davis",424.74
"Nikola Vučević",347.71
"Rudy Gobert",267.1
"Jarrett Allen",321.03
"Bam Adebayo",367.18
"Chet Holmgren",311.7
"Brook Lopez",199.45
"Jaren Jackson Jr.",239.07
"Nic Claxton",306.45
"Victor Wembanyama",468.7
"Jusuf Nurkić",370.41
"Myles Turner",233.99
"Alperen Şengün",410.06
"Jonas Valančiūnas",340.21
"Isaiah Hartenstein",271.99
"Clint Capela",334.96
"Daniel Gafford",271.32
"Ivica Zubac",263.3
"Deandre Ayton",263.45
"Jalen Duren",278
"Nick Richards",167.3
"Kelly Olynyk",299.19
"Kelly Olynyk",321.88
"Kelly Olynyk",267.72
"Al Horford",251.25
"Kristaps Porziņģis",273.49
"Precious Achiuwa",289.52
"Paul Reed",285.68
"Zach Collins",256.35
"Walker Kessler",249.29
"Moritz Wagner",202.27
"Wendell Carter Jr.",217.28
"Onyeka Okongwu",219.29
"Andre Drummond",352.58
"Jakob Poeltl",298.03
"Joel Embiid",566.06
"Dereck Lively II",208.86
"Larry Nance Jr.",193.78
"Duop Reath",205.27
"Kevon Looney",268.39
"Drew Eubanks",151.11
"Dario Šarić",240.66
"James Wiseman",162.31
"Marvin Bagley III",215.29
"Marvin Bagley III",180.25
"Marvin Bagley III",244.09
"Jalen Smith",271.11
"Daniel Theis",204.26
"Daniel Theis",2.26
"Daniel Theis",205.57
"Luke Kornet",279.18
"Xavier Tillman Sr.",268.22
"Goga Bitadze",295.09
"Day'Ron Sharpe",334.95
"Jaylin Williams",279.85
"Jaxson Hayes",88.23
"Maxi Kleber",108.26
"Chimezie Metu",110.54
"Chimezie Metu",113.25
"Chimezie Metu",110.28
"Dwight Powell",159.51
"Bismack Biyombo",105.76
"Bismack Biyombo",112
"Bismack Biyombo",20.86
"Isaiah Jackson",285.05
"Mitchell Robinson",198.94
"Jock Landale",228
"Mo Bamba",249.11
"Bruno Fernando",185.84
"Mason Plumlee",237.24
"Mike Muscala",129.31
"Mike Muscala",114.46
"Mike Muscala",211.01
"Mike Muscala",62.78
"Jericho Sims",55.14
"Trey Jemison",92.5
"Trey Jemison",NA
"Trey Jemison",97.51
"Richaun Holmes",196.73
"Richaun Holmes",200.14
"Tristan Thompson",221.28
"Omer Yurtseven",213.94
"Mark Williams",308.75
"Sandro Mamukelashvili",331.46
"Alex Len",215.9
"Thomas Bryant",260.36
"DeAndre Jordan",237.12
"JaVale McGee",228.74
"Neemias Queta",331.14
"Cody Zeller",266.39
"Nathan Mensah",-101.93
"Orlando Robinson",226.7
"Damian Jones",167.71
"Ibou Badji",-72.45
"Charles Bassey",222.7
"Moses Brown",277.78
"Tristan Vukcevic",238.66
"Luka Garza",211.18
"Marques Bolden",224.39
"Marques Bolden",NA
"Marques Bolden",220.69
"Robert Williams",179.45
"Udoka Azubuike",165.4
"Malik Williams",237.76
"Harry Giles",269.39
"Harry Giles",305.35
"Harry Giles",179.46
"Olivier Sarr",248.9
"Boban Marjanović",388.39
"Robin Lopez",100.24
"Moussa Diabaté",356.54
"Colin Castleton",82.18
"Jay Huff",252.61
"Filip Petrušev",75.9
"Filip Petrušev",NA
"Filip Petrušev",7.2
"Dmytro Skapintsev",-2.41
