"Player","RatingScore"
"Coby White",235.19
"Jalen Brunson",407.82
"Fred VanVleet",389.19
"De'Aaron Fox",335.85
"Tyrese Maxey",355.89
"Luka Dončić",612.48
"Damian Lillard",336.08
"Shai Gilgeous-Alexander",457.86
"Dennis Schröder",284.79
"Dennis Schröder",297.48
"Dennis Schröder",268.22
"D'Angelo Russell",305.6
"James Harden",379.98
"Devin Booker",384.12
"Stephen Curry",291.52
"Jrue Holiday",220.51
"Tyrese Haliburton",549.22
"Mike Conley",308.56
"CJ McCollum",298.39
"Spencer Dinwiddie",244.5
"Spencer Dinwiddie",327.06
"Spencer Dinwiddie",53.32
"Tre Jones",321.72
"Cade Cunningham",418.96
"Terry Rozier",328.52
"Keyonte George",169.21
"Immanuel Quickley",372.86
"Trae Young",448.6
"Tyus Jones",425.54
"Darius Garland",258.81
"Bruce Brown",149.57
"Jamal Murray",399.91
"Payton Pritchard",276.88
"Reggie Jackson",230.47
"Cole Anthony",267.39
"Scoot Henderson",242.3
"Andrew Nembhard",148.58
"Kyle Lowry",161.29
"Kyle Lowry",169.89
"Kyle Lowry",150.31
"Malaki Branham",107.66
"Chris Paul",389.89
"Russell Westbrook",374.7
"Patrick Beverley",231.94
"Patrick Beverley",225.8
"Patrick Beverley",250.48
"Dyson Daniels",195.61
"Marcus Sasser",242
"Miles McBride",170.26
"Cameron Payne",231.18
"Cameron Payne",209.11
"Cameron Payne",254.54
"T.J. McConnell",491.19
"Aaron Holiday",158.66
"Kris Dunn",264.68
"Vasilije Micić",226.64
"Vasilije Micić",117.23
"Vasilije Micić",270.64
"Anthony Black",60.55
"Malcolm Brogdon",386.62
"Davion Mitchell",139.35
"Dante Exum",201.02
"Dennis Smith Jr.",310.53
"Jordan Goodwin",330.96
"Jordan Goodwin",276.32
"Jordan Goodwin",391.84
"Dalano Banton",257.96
"Dalano Banton",175.84
"Dalano Banton",270.6
"Jose Alvarado",215.81
"Talen Horton-Tucker",317.96
"Killian Hayes",300.99
"Jevon Carter",140.88
"Tre Mann",251.2
"Tre Mann",215.6
"Tre Mann",254.86
"Markelle Fultz",252.72
"Malachi Flynn",210.65
"Malachi Flynn",161.7
"Malachi Flynn",143.52
"Malachi Flynn",265.9
"Delon Wright",328.01
"Delon Wright",347.97
"Delon Wright",299.36
"Ish Smith",145.04
"LaMelo Ball",513.36
"Jacob Gilyard",229.8
"Jacob Gilyard",235.16
"Jacob Gilyard",146.81
"Craig Porter Jr.",315.22
"Jordan McLaughlin",296.16
"Marcus Smart",163.38
"Vit Krejci",48.96
"Bones Hyland",243.73
"Scotty Pippen Jr.",297
"Monte Morris",336.75
"Monte Morris",302.29
"Monte Morris",343.45
"Skylar Mays",373.45
"Patty Mills",105.49
"Patty Mills",44.57
"Patty Mills",149.09
"Javon Freeman-Liberty",131.92
"Derrick Rose",322.14
"Ben Simmons",386.68
"Ja Morant",527.2
"Ashton Hagans",111.19
"Devonte' Graham",209.86
"Cory Joseph",120.4
"Kira Lewis Jr.",186.59
"Kira Lewis Jr.",151.8
"Kira Lewis Jr.",NA
"Kira Lewis Jr.",234.19
"Collin Gillespie",104.95
"Gabe Vincent",89.65
"Théo Maledon",88.96
"Théo Maledon",127.73
"Théo Maledon",-392.62
"Saben Lee",304.09
"Zavier Simpson",229.25
"Jeff Dowtin",329.64
"Brandon Williams",234.15
"Armoni Brooks",154.14
"Jamaree Bouyea",43.62
"Jamaree Bouyea",22.38
"Jamaree Bouyea",163.71
"Terquavion Smith",217.34
"Ryan Rollins",313.22
"Ryan Rollins",318.22
"Ryan Rollins",195.44
"R.J. Hampton",20.56
"Jason Preston",444.01
"Kobi Simmons",411.51
"Amari Bailey",161.52
"TyTy Washington Jr.",127.45
"Daishen Nix",136.62
"Ryan Arcidiacono",-30.25
"Frank Ntilikina",129.41
"Pat Spencer",152.43
"Jordan Ford",94.11
"Isaiah Thomas",279.59
"Quenton Jackson",552.41
"Lindell Wigginton",-174.18
"Izaiah Brockington",472.08
"Jalen Crutcher",-1.57
"Javonte Smart",NA
