"Player","RatingScore"
"DeMar DeRozan",303.51
"Mikal Bridges",201.36
"Josh Hart",240.5
"Keegan Murray",180.02
"Miles Bridges",238.88
"Michael Porter Jr.",184.45
"Brandon Miller",156.02
"Jaylen Brown",234.57
"Franz Wagner",273.14
"Kawhi Leonard",300.72
"Herbert Jones",137.1
"Klay Thompson",143.94
"Deni Avdija",238.07
"Luguentz Dort",101.3
"Max Strus",204.62
"Dillon Brooks",78.04
"Buddy Hield",186.39
"Buddy Hield",170.21
"Tim Hardaway Jr.",142.04
"Jaime Jaquez Jr.",156.29
"Jaden McDaniels",64.56
"Brandon Ingram",334.5
"Corey Kispert",106.85
"Saddiq Bey",161
"Kelly Oubre Jr.",160.88
"Keldon Johnson",218.84
"Aaron Nesmith",128.24
"Royce O'Neale",228.24
"Royce O'Neale",206.85
"Royce O'Neale",264.72
"Andrew Wiggins",150.89
"Duncan Robinson",140.42
"Jalen Johnson",281.84
"Isaac Okoro",128.91
"Derrick Jones Jr.",91.36
"Caleb Martin",164.24
"Sam Hauser",158.24
"Bilal Coulibaly",70.4
"OG Anunoby",110.29
"OG Anunoby",127.8
"OG Anunoby",89.01
"Jabari Walker",197.2
"Trey Murphy III",232.19
"De'Andre Hunter",90.28
"Pat Connaughton",137.12
"Simone Fontecchio",121.51
"Simone Fontecchio",103.8
"Simone Fontecchio",151.96
"Ausar Thompson",216.88
"Bennedict Mathurin",119.9
"Peyton Watson",169.46
"Matisse Thybulle",125.51
"Khris Middleton",328.31
"Bojan Bogdanović",28.12
"Julian Champagnie",127.2
"Amir Coffey",95.05
"Amen Thompson",298.22
"Kris Murray",115.89
"Cedi Osman",162.66
"Naji Marshall",173.79
"Gordon Hayward",213.45
"Gordon Hayward",259.82
"Gordon Hayward",134.54
"John Konchar",180.64
"Joe Ingles",141.47
"Torrey Craig",154.7
"Ziaire Williams",123.8
"Jae'Sean Tate",115.39
"Cam Reddish",62.26
"Doug McDermott",86.14
"Doug McDermott",83.94
"Doug McDermott",88.93
"Cam Whitmore",162.84
"Troy Brown Jr.",134.98
"Troy Brown Jr.",142.74
"Troy Brown Jr.",129.56
"Caleb Houstan",75.81
"Cody Martin",199.4
"KJ Martin",110.78
"KJ Martin",11.61
"KJ Martin",114.61
"Chris Duarte",114.95
"Jordan Nwora",173.77
"Jordan Nwora",167.04
"Jordan Nwora",175.19
"Keita Bates-Diop",181.86
"Keita Bates-Diop",189.23
"Keita Bates-Diop",140.64
"Oshae Brissett",201.98
"Danilo Gallinari",181.69
"Danilo Gallinari",354.15
"Danilo Gallinari",11.25
"MarJon Beauchamp",63.61
"Brice Sensabaugh",107.46
"Kevin Knox",77.11
"Julian Strawther",147.05
"Jalen McDaniels",94.53
"Danuel House Jr.",42
"Patrick Baldwin Jr.",193.74
"Robert Covington",190.43
"Yuta Watanabe",6.51
"Yuta Watanabe",-0.55
"Yuta Watanabe",43.03
"Nassir Little",119.64
"Chuma Okeke",99.18
"Reggie Bullock",79.49
"Svi Mykhailiuk",151.15
"Eugene Omoruyi",243.86
"Matt Ryan",-2.15
"Justin Minaya",115.61
"Tosan Evbuomwan",97.69
"Tosan Evbuomwan",207.38
"Tosan Evbuomwan",71.1
"Brandon Boston Jr.",77.04
"Julian Phillips",61.14
"Leaky Black",216.3
"Kessler Edwards",186.8
"Justin Champagnie",224.52
"Javonte Green",228.54
"Otto Porter Jr.",175.69
"AJ Griffin",-1.32
"Sidy Cissoko",196.1
"Emoni Bates",56.62
"T.J. Warren",179.64
"Timmy Allen",87.25
"Mãozinha Pereira",175.82
"Dylan Windler",198.24
"Dylan Windler",361.31
"Dylan Windler",437.82
"Dylan Windler",89.64
"Maxwell Lewis",-249.91
"Josh Minott",346.21
"Chris Livingston",53.95
"Cole Swider",-17.36
"Buddy Boeheim",162.5
"Jordan Walsh",111.95
"Jett Howard",191.79
"Keyontae Johnson",-41.75
"Jack White",74.99
"Ish Wainright",156.89
"Ish Wainright",134.15
"Ish Wainright",217.52
"Braxton Key",432.51
"Jermaine Samuels",291.54
"Juan Toscano-Anderson",155.21
"Leonard Miller",590.8
"Seth Lundy",32.16
"Alex Fudge",-1.62
"Alex Fudge",-56.6
"Alex Fudge",32.16
"Jacob Toppin",191.26
"Jalen Slawson",-37.09
"Henri Drell",220.16
"Jordan Miller",21.24
"Dariq Whitehead",360.05
"Kaiser Gates",97.51
"Justin Jackson",NA
