"Player","RatingScore"
"Dejounte Murray",351.65
"Anthony Edwards",317.15
"Austin Reaves",244.6
"Jalen Green",218.6
"Grayson Allen",138.96
"Kentavious Caldwell-Pope",92.61
"Bogdan Bogdanović",200.2
"Derrick White",283.5
"Donte DiVincenzo",194.46
"Jordan Poole",208.12
"Malik Beasley",103.82
"Devin Vassell",247.94
"Jaden Ivey",194.5
"Ayo Dosunmu",164.23
"Buddy Hield",210.02
"Scottie Barnes",397.01
"Collin Sexton",322.58
"Cam Thomas",191.44
"Alex Caruso",201.98
"Terry Rozier",357.85
"Terry Rozier",389.58
"Kyrie Irving",341.59
"Jalen Suggs",159.29
"Josh Giddey",362.66
"Gary Trent Jr.",147.1
"Norman Powell",87.06
"Immanuel Quickley",313.05
"Immanuel Quickley",207.11
"Brandin Podziemski",254.62
"Caris LeVert",330.88
"Donovan Mitchell",376.45
"Nickeil Alexander-Walker",147.34
"Eric Gordon",89.85
"Terance Mann",131.69
"Malik Monk",322.8
"Bruce Brown",160.99
"Bruce Brown",171.12
"RJ Barrett",221.8
"RJ Barrett",173.49
"RJ Barrett",256.16
"Bradley Beal",239.62
"Cason Wallace",139.15
"Jordan Clarkson",235.6
"Christian Braun",187.19
"Ochai Agbaji",73.43
"Ochai Agbaji",72.65
"Ochai Agbaji",77.8
"Anfernee Simons",289.09
"Kevin Huerter",217.35
"Josh Green",92.34
"Isaiah Joe",137
"Desmond Bane",352.18
"Vince Williams Jr.",201.56
"Tyler Herro",283.94
"Gary Harris",98.51
"Gradey Dick",67.94
"Aaron Wiggins",125.25
"Alec Burks",165.81
"Alec Burks",180.4
"Alec Burks",124.81
"Jordan Hawkins",122.94
"Moses Moody",145.19
"Josh Richardson",177.34
"Sam Merrill",222.86
"Shaedon Sharpe",154.23
"Quentin Grimes",120.06
"Quentin Grimes",116.72
"Quentin Grimes",176.01
"De'Anthony Melton",237.09
"Lonnie Walker IV",168.45
"Luke Kennard",188.4
"Garrison Mathews",64.43
"Jaden Hardy",177.86
"Keon Ellis",139.34
"Josh Okogie",128.4
"Max Christie",97.85
"Bryce McGowens",93.22
"Blake Wesley",201.72
"Zach LaVine",211.61
"Justin Holiday",138.69
"Ben Sheppard",131.31
"Nick Smith Jr.",99.9
"Landry Shamet",110.76
"Dalen Terry",185.17
"Gary Payton II",150.75
"Rayan Rupert",101.36
"Seth Curry",127.73
"Seth Curry",102.35
"Seth Curry",197.44
"A.J. Green",107.78
"Johnny Davis",110.3
"Shake Milton",153.64
"Shake Milton",119.74
"Shake Milton",295.5
"Shake Milton",449.94
"Evan Fournier",163.11
"Evan Fournier",211.36
"Evan Fournier",158.39
"Andre Jackson Jr.",42.26
"Jared Butler",275.25
"Jaden Springer",121.21
"Jaden Springer",141.09
"Jaden Springer",64.14
"Skylar Mays",347.32
"Skylar Mays",230.59
"Trent Forrest",247.69
"Wesley Matthews",148.66
"Lester Quiñones",171.7
"Johnny Juzang",66.45
"A.J. Lawson",137.89
"Stanley Umude",72.01
"Furkan Korkmaz",122.64
"Ricky Council IV",201.12
"Garrett Temple",134.96
"Lindy Waters III",215.08
"Onuralp Bitim",58.93
"Jared Rhoden",152.5
"Jaylen Nowell",177.32
"Jaylen Nowell",172.75
"Jaylen Nowell",186.8
"Kobe Bufkin",293.94
"Colby Jones",233.89
"Joe Harris",65.44
"Trevelin Queen",164.31
"DeJon Jarreau",387.35
"Jules Bernard",203.39
"Dru Smith",181.3
"Jeenathan Williams",176.51
"Jalen Pickett",133.35
"Jahmi'us Ramsey",109.3
"Xavier Moon",327.91
"Jalen Hood-Schifino",57.51
"Jerome Robinson",142.09
"James Bouknight",204.45
"Wendell Moore Jr.",86.07
"Nate Hinton",373.26
"Kendall Brown",59.29
"Keon Johnson",22.76
"Dereon Seabron",280.5
"David Duke Jr.",181.69
"DaQuan Jeffries",112.77
"D'Moi Hodge",168.77
"Taze Moore",269.64
"JD Davison",479.61
"Charlie Brown Jr.",-104.15
"D.J. Carton",120.44
"Dexter Dennis",385.3
"Mason Jones",193.15
"Danny Green",191.34
"Alondes Williams",-117.29
"Ty Jerome",144.7
"Adam Flagler",422.75
"Andrew Funk",145.62
"Joshua Primo",-528.69
"Shaquille Harrison",430.74
"Kevon Harris",354.72
"Hamidou Diallo",456.65
"Markquis Nowell",1222.34
"Isaiah Wong",4.03
"Malcolm Cazalon",NA
