"Player","RatingScore"
"Paolo Banchero",342.74
"Kevin Durant",300.47
"Pascal Siakam",313.72
"Pascal Siakam",304.85
"Pascal Siakam",322.61
"Jayson Tatum",332.84
"Giannis Antetokounmpo",653.76
"LeBron James",479.59
"Paul George",238.83
"Jabari Smith Jr.",197.61
"Harrison Barnes",90.38
"Tobias Harris",253.01
"Aaron Gordon",238.44
"Kyle Kuzma",287.55
"Jalen Williams",283.9
"P.J. Washington",179.49
"P.J. Washington",192.19
"P.J. Washington",162.9
"Zion Williamson",356.72
"Jeremy Sochan",210.34
"Grant Williams",109.93
"Grant Williams",70.54
"Grant Williams",169.46
"Taurean Prince",73.34
"Jimmy Butler",326.82
"Karl-Anthony Towns",237.66
"Bobby Portis",244.45
"Naz Reid",191.94
"Jonathan Kuminga",190.85
"Dorian Finney-Smith",130.59
"John Collins",211.2
"Georges Niang",106.03
"Jerami Grant",159.09
"Rui Hachimura",154.72
"Lauri Markkanen",243.07
"Daniel Gafford",298.1
"Daniel Gafford",343.99
"Kyle Anderson",288
"Toumani Camara",94.41
"Obi Toppin",175.52
"Julius Randle",319.48
"Precious Achiuwa",216.14
"Precious Achiuwa",188.86
"Santi Aldama",250.88
"Cameron Johnson",207.84
"Evan Mobley",339.09
"Nicolas Batum",138.81
"Nicolas Batum",217.48
"Nicolas Batum",133.86
"Draymond Green",292.9
"Bojan Bogdanović",76.34
"Bojan Bogdanović",105.51
"Isaiah Stewart",112.66
"Haywood Highsmith",144.97
"Jeff Green",106.29
"GG Jackson II",137.39
"David Roddy",139.64
"David Roddy",140.9
"David Roddy",119.35
"Patrick Williams",100.79
"Trey Lyles",171.44
"Jae Crowder",129.19
"Trayce Jackson-Davis",296.35
"Dean Wade",162.5
"Kenrich Williams",198.59
"Xavier Tillman Sr.",254.92
"Xavier Tillman Sr.",230.15
"Kevin Love",399.78
"Jonathan Isaac",300.02
"Nikola Jović",227.64
"Christian Wood",179.89
"Trendon Watford",199.6
"Taylor Hendricks",157.45
"Marcus Morris",106.96
"Marcus Morris",130.8
"Marcus Morris",32.9
"Jake LaRavia",153.32
"JT Thor",160.12
"Chris Boucher",194.81
"Dāvis Bertāns",122.49
"Dāvis Bertāns",260.6
"Dāvis Bertāns",100.96
"Jalen Wilson",166.81
"Danilo Gallinari",202.69
"Jarred Vanderbilt",93.68
"Zeke Nnaji",166.9
"Lamar Stevens",228.27
"Lamar Stevens",174.71
"Lamar Stevens",240.74
"Richaun Holmes",194.46
"Sasha Vezenkov",172.52
"Robert Covington",202.7
"Robert Covington",325.76
"P.J. Tucker",45.83
"P.J. Tucker",-140.66
"P.J. Tucker",70.72
"Tari Eason",298.74
"Bol Bol",221.09
"Isaiah Livers",50.14
"Anthony Gill",163.22
"Thaddeus Young",294.46
"Thaddeus Young",312.22
"Thaddeus Young",229.57
"Dominick Barlow",308.68
"Aleksej Pokusevski",221.9
"Aleksej Pokusevski",89.54
"Aleksej Pokusevski",243.71
"Luka Šamanić",122.18
"Kobe Brown",143.32
"Noah Clowney",153.35
"Ousmane Dieng",129.26
"Jontay Porter",334.54
"Jarace Walker",209.31
"Olivier-Maxence Prosper",220.15
"Jeremiah Robinson-Earl",136.03
"Jamal Cain",124.49
"Markieff Morris",95.41
"Taj Gibson",122.6
"Taj Gibson",40.84
"Taj Gibson",313.99
"Kenneth Lofton Jr.",339.8
"Kenneth Lofton Jr.",282.89
"Kenneth Lofton Jr.",-82.91
"Kenneth Lofton Jr.",453
"Gui Santos",200.15
"Terry Taylor",81.99
"Micah Potter",140.24
"Thanasis Antetokounmpo",-96.59
"Darius Bazley",55.24
"Darius Bazley",-266.45
"Darius Bazley",68.11
"Brandon Clarke",342.96
"Mouhamadou Gueye",104.45
"Matthew Hurt",146.71
"Admiral Schofield",111.8
"Wenyen Gabriel",15.93
"Mouhamed Gueye",355.22
"Isaiah Mobley",170.65
"Adama Sanogo",233.46
"Hunter Tyson",105.75
"James Johnson",-12.27
"Oscar Tshiebwe",411.26
"Greg Brown III",170.07
"RaiQuan Gray",418.79
"Pete Nance",-56.51
"Mamadi Diakite",233.5
"Mamadi Diakite",458.61
"Mamadi Diakite",-459.4
"E.J. Liddell",100.43
"Drew Peterson",-8.72
"Usman Garuba",289.85
"D.J. Wilson",540.61
"Ron Harper Jr.",NA
